2024-09-23 08:13:25,529 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.54s, Data Size: 114069 bytes
2024-09-23 08:13:25,590 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.28s, Data Size: 114069 bytes
2024-09-23 08:13:25,687 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.66s, Data Size: 114069 bytes
2024-09-23 08:13:25,699 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.63s, Data Size: 114069 bytes
2024-09-23 08:13:25,817 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.41s, Data Size: 114069 bytes
2024-09-23 08:13:25,817 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.25s, Data Size: 114069 bytes
2024-09-23 08:13:25,817 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.61s, Data Size: 114069 bytes
2024-09-23 08:13:25,850 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.35s, Data Size: 114069 bytes
2024-09-23 08:13:26,097 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.21s, Data Size: 114069 bytes
2024-09-23 08:13:26,180 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.48s, Data Size: 114069 bytes
